MaSV,TenSV,GPA,ChuyenCan,DiemGiuaKy,SoMonTruot,SoTinChi,LichSuCanhBao,NoHocPhi,NguyCo
SV20066,Đặng Đức Nam,2.38,48,6.0,2,21,0,0,Cao
SV20067,Đặng Ngọc An,0.0,85,0.0,0,0,0,0,Thap
SV20068,Nguyễn Văn Nam,2.51,44,6.3,0,18,0,0,Thap
SV20069,Phạm Anh Nam,2.24,53,5.6,0,15,1,1,Cao
SV20070,Lê Quang Hương,2.4,39,6.0,0,18,0,0,Trung Binh
SV20071,Bùi Minh Nam,0.0,60,0.0,5,15,0,0,Trung Binh
SV20072,Vũ Anh An,2.4,38,6.0,0,21,0,0,Thap
SV20073,Lê Thị Linh,0.0,85,0.0,0,0,0,0,Cao
SV20074,Đặng Minh Hương,2.33,67,5.8,3,18,0,0,Cao
SV20075,Bùi Thảo Linh,2.47,44,6.2,0,18,0,0,Thap
SV20076,Nguyễn Đức An,2.07,53,5.2,2,15,1,1,Cao
SV20077,Vũ Văn Trang,2.1,44,5.2,2,18,0,0,Cao
SV20078,Phạm Đức Khánh,2.73,33,6.8,0,18,1,1,Thap
SV20079,Trần Minh An,2.97,33,7.4,0,21,0,0,Thap
SV20080,Hoàng Văn Linh,2.4,44,6.0,0,18,0,0,Thap
SV20081,Nguyễn Minh An,2.44,44,6.1,1,18,0,0,Cao
SV20082,Trần Thị Hương,0.0,33,0.0,1,3,0,0,Cao
SV20083,Đặng Anh An,2.43,47,6.1,6,36,1,1,Cao
SV20084,Nguyễn Minh Bình,2.4,40,6.0,0,15,0,0,Trung Binh
SV20085,Hoàng Đức Trang,2.2,39,5.5,0,18,0,0,Thap
SV20086,Bùi Ngọc Khánh,2.62,33,6.5,1,24,0,0,Thap
SV20087,Phạm Quang Linh,2.1,47,5.2,1,15,0,0,Thap
SV20088,Lê Văn Hương,2.13,50,5.3,0,18,0,0,Thap
SV20089,Bùi Anh Dũng,2.8,40,7.0,1,15,0,0,Trung Binh
SV20090,Trần Ngọc Hương,2.0,60,5.0,3,15,1,1,Trung Binh
SV20091,Lê Quang An,0.0,86,0.0,7,21,0,0,Cao
SV20092,Nguyễn Đức Hương,2.8,33,7.0,0,18,0,0,Thap
SV20093,Bùi Anh Cường,2.4,39,6.0,4,18,0,0,Cao
SV20094,Phạm Đức Dũng,2.53,67,6.3,3,18,0,0,Cao
SV20095,Lê Thị Cường,2.38,46,5.9,0,24,0,0,Thap
SV20096,Đặng Minh Dũng,2.8,60,7.0,0,15,0,0,Trung Binh
SV20097,Bùi Quang Dũng,2.73,33,6.8,0,18,0,0,Thap
SV20098,Nguyễn Văn Linh,2.75,33,6.9,0,21,0,0,Thap
SV20099,Bùi Quang Bình,2.84,47,7.1,0,15,0,0,Trung Binh
SV20100,Bùi Văn Nam,2.39,48,6.0,3,21,1,1,Cao
SV20101,Nguyễn Thị Khánh,2.58,40,6.4,2,30,0,0,Cao
SV20102,Đặng Ngọc Trang,0.0,85,0.0,0,0,0,0,Thap
SV20103,Lê Quang Trang,0.0,0,0.0,6,18,0,0,Cao
SV20104,Bùi Văn Dũng,2.93,35,7.3,0,54,0,0,Thap
SV20105,Phạm Văn Bình,0.0,0,0.0,6,18,0,0,Cao
SV20106,Nguyễn Thảo Giang,2.6,40,6.5,0,30,1,1,Thap
SV20107,Hoàng Thảo Khánh,0.0,0,0.0,6,18,0,0,Cao
SV20108,Nguyễn Văn Cường,2.84,83,7.1,2,18,0,0,Cao
SV20109,Lê Thảo Cường,2.65,43,6.6,1,21,0,0,Cao
SV20110,Phạm Thảo Hương,2.33,57,5.8,1,21,0,0,Trung Binh
SV20111,Bùi Văn Linh,2.77,44,6.9,0,18,0,0,Thap
SV20112,Phạm Minh An,2.6,60,6.5,2,15,0,0,Trung Binh
SV20113,Bùi Đức Hương,2.68,40,6.7,0,15,0,0,Thap
SV20114,Bùi Đức Cường,2.53,33,6.3,0,18,0,0,Thap
SV20115,Bùi Ngọc Nam,2.5,33,6.3,1,21,0,0,Cao
SV20116,Lê Văn Bình,2.32,52,5.8,1,21,0,0,Trung Binh
SV20117,Bùi Ngọc Bình,2.0,72,5.0,4,18,0,0,Trung Binh
SV20118,Trần Ngọc Cường,2.07,73,5.2,2,15,0,0,Trung Binh
SV20119,Bùi Anh Nam,2.63,80,6.6,0,15,0,0,Thap
SV20120,Phạm Văn Dũng,2.52,33,6.3,0,15,0,0,Thap
SV20121,Nguyễn Ngọc Giang,2.2,67,5.5,3,18,0,0,Cao
SV20122,Bùi Đức Linh,2.16,53,5.4,0,15,0,0,Thap
SV20123,Bùi Thảo Khánh,0.0,85,0.0,0,0,0,0,Cao
SV20124,Lê Văn An,2.56,33,6.4,0,15,0,0,Thap
SV20125,Bùi Đức Cường,2.83,83,7.1,0,18,0,0,Thap
SV20126,Vũ Quang Hương,2.42,57,6.0,2,21,0,0,Cao
SV20127,Vũ Ngọc Hương,2.83,39,7.1,0,18,0,0,Thap
SV20128,Vũ Anh Cường,2.56,44,6.4,1,18,0,0,Trung Binh
SV20129,Vũ Thảo Bình,2.6,39,6.5,0,18,0,0,Thap
SV20130,Hoàng Ngọc An,2.69,33,6.7,0,21,0,0,Thap
SV20131,Phạm Quang An,2.65,43,6.6,0,21,0,0,Cao
SV20132,Hoàng Đức Cường,2.47,33,6.2,0,18,0,0,Thap
SV20133,Phạm Minh An,2.48,47,6.2,0,15,0,0,Thap
SV20134,Bùi Văn Giang,2.8,38,7.0,2,21,0,0,Cao
SV20135,Vũ Minh Nam,2.33,56,5.8,0,27,0,0,Thap
SV20136,Hoàng Thảo An,2.4,39,6.0,1,18,1,1,Cao
SV20137,Vũ Anh Cường,2.44,47,6.1,1,15,0,0,Thap
SV20138,Phạm Văn Dũng,2.97,33,7.4,0,18,1,1,Thap
SV20139,Đặng Anh Giang,2.64,43,6.6,2,21,0,0,Trung Binh
SV20140,Bùi Quang An,3.42,38,8.6,0,21,0,0,Thap
SV20141,Bùi Minh Bình,2.53,33,6.3,1,21,0,0,Thap
SV20142,Nguyễn Thị Hương,2.53,44,6.3,0,18,0,0,Thap
SV20143,Trần Minh Linh,0.0,53,0.0,5,15,1,1,Trung Binh
SV20144,Vũ Thảo Bình,2.27,39,5.7,0,18,0,0,Thap
SV20145,Bùi Quang Hương,2.72,48,6.8,0,21,0,0,Thap
SV20146,Đặng Thị Trang,2.4,56,6.0,1,18,0,0,Thap
SV20147,Trần Thị An,0.0,67,0.0,5,15,0,0,Cao
SV20148,Bùi Văn Nam,2.24,44,5.6,1,18,0,0,Cao
SV20149,Lê Ngọc Khánh,2.68,67,6.7,0,15,0,0,Thap
SV20150,Hoàng Thị Khánh,2.77,38,6.9,1,21,0,0,Thap
SV20151,Trần Minh Bình,0.0,85,0.0,0,0,0,0,Trung Binh
SV20152,Nguyễn Thảo Trang,2.48,40,6.2,0,15,0,0,Thap
SV20153,Đặng Văn Dũng,2.47,61,6.2,3,18,0,0,Trung Binh
SV20154,Hoàng Đức An,2.67,39,6.7,0,18,0,0,Thap
SV20155,Bùi Thảo Cường,2.53,56,6.3,3,18,0,0,Cao
SV20156,Đặng Quang Bình,2.4,44,6.0,0,18,0,0,Cao
SV20157,Trần Thảo Khánh,2.12,33,5.3,0,15,0,0,Thap
SV20158,Đặng Ngọc Cường,2.45,44,6.1,0,18,0,0,Thap
SV20159,Nguyễn Thị Hương,2.2,56,5.5,2,18,0,0,Thap
SV20160,Trần Thị Hương,2.2,61,5.5,1,18,0,0,Thap
SV20161,Nguyễn Đức Trang,2.63,33,6.6,0,18,0,0,Cao
SV20162,Vũ Quang Hương,2.57,43,6.4,0,21,0,0,Thap
SV20163,Lê Đức Giang,2.98,38,7.5,0,21,0,0,Thap
SV20164,Nguyễn Thảo Giang,2.3,72,5.8,2,18,0,0,Cao
SV20165,Phạm Đức Giang,2.84,33,7.1,0,15,0,0,Thap
SV20166,Đặng Đức Hương,2.5,33,6.2,0,18,0,0,Thap
SV20167,Hoàng Thảo Dũng,0.0,33,0.0,1,3,1,1,Trung Binh
SV20168,Vũ Quang Cường,2.33,56,5.8,1,18,0,0,Thap
SV20169,Đặng Thảo Dũng,2.85,33,7.1,1,24,0,0,Thap
SV20170,Bùi Anh Bình,2.4,72,6.0,3,18,0,0,Cao
SV20171,Phạm Thị Cường,2.25,87,5.6,1,15,0,0,Trung Binh
SV20172,Nguyễn Thảo Cường,2.49,38,6.2,0,21,0,0,Thap
SV20173,Phạm Thị Khánh,2.34,33,5.8,1,21,0,0,Thap
SV20174,Trần Anh Trang,2.33,56,5.8,3,18,0,0,Thap
SV20175,Hoàng Ngọc Khánh,2.35,44,5.9,2,18,1,1,Cao
SV20176,Đặng Văn Giang,2.33,40,5.8,2,15,0,0,Trung Binh
SV20177,Nguyễn Thị Trang,2.64,50,6.6,1,18,0,0,Thap
SV20178,Nguyễn Quang Bình,2.39,38,6.0,3,21,0,0,Cao
SV20179,Bùi Ngọc Hương,2.48,44,6.2,1,18,0,0,Cao
SV20180,Bùi Văn Linh,2.87,38,7.2,1,21,0,0,Cao
SV20181,Hoàng Anh An,2.52,33,6.3,0,63,0,0,Thap
SV20182,Bùi Anh Khánh,2.53,39,6.3,0,18,0,0,Trung Binh
SV20183,Bùi Quang Giang,2.4,33,6.0,1,18,1,1,Cao
SV20184,Vũ Anh Khánh,2.43,33,6.1,0,18,0,0,Cao
SV20185,Lê Đức Trang,0.0,0,0.0,6,18,0,0,Cao
SV20186,Bùi Minh Giang,2.0,60,5.0,2,15,1,1,Cao
SV20187,Vũ Văn Giang,2.3,60,5.8,2,30,1,1,Trung Binh
SV20188,Đặng Văn Dũng,2.61,33,6.5,1,21,0,0,Thap
SV20189,Hoàng Đức Trang,2.2,56,5.5,4,18,0,0,Cao
SV20190,Trần Thảo Giang,2.3,39,5.8,0,18,0,0,Thap
SV20191,Đặng Đức An,2.4,39,6.0,0,18,0,0,Thap
SV20192,Vũ Ngọc Giang,2.0,72,5.0,4,18,0,0,Trung Binh
SV20193,Đặng Thị Trang,0.0,33,0.0,5,15,0,0,Cao
SV20194,Vũ Anh Dũng,0.0,0,0.0,6,18,0,0,Cao
SV20195,Trần Đức Trang,2.45,33,6.1,1,24,0,0,Thap
SV20196,Trần Minh Trang,0.0,0,0.0,5,15,0,0,Cao
SV20197,Bùi Văn Linh,2.59,33,6.5,0,24,0,0,Thap
SV20198,Hoàng Anh Dũng,0.0,0,0.0,5,15,0,0,Cao
SV20199,Bùi Thảo Khánh,2.51,43,6.3,0,21,0,0,Thap
SV20200,Trần Văn Dũng,2.36,44,5.9,0,9,0,0,Trung Binh
SV20201,Bùi Đức Bình,2.75,60,6.9,1,15,0,0,Thap
SV20202,Lê Đức An,2.23,44,5.6,0,18,0,0,Thap
SV20203,Nguyễn Anh Cường,2.46,33,6.2,1,24,0,0,Thap
SV20204,Lê Anh Cường,2.43,33,6.1,0,18,1,1,Thap
SV20205,Nguyễn Văn Linh,2.23,61,5.6,1,18,0,0,Thap
SV20206,Trần Minh Bình,2.2,50,5.5,2,18,0,0,Thap
SV20207,Hoàng Minh Bình,2.58,33,6.5,1,24,0,0,Thap
SV20208,Lê Quang An,2.77,33,6.9,0,18,0,0,Thap
SV20209,Trần Thảo Trang,2.77,44,6.9,0,18,0,0,Thap
SV20210,Trần Thị Bình,2.74,39,6.9,0,18,0,0,Cao
SV20211,Lê Văn Khánh,2.53,33,6.3,1,24,0,0,Thap
SV20212,Phạm Thị Giang,2.58,33,6.5,1,21,0,0,Thap
SV20213,Trần Anh Linh,3.12,44,7.8,0,18,0,0,Thap
SV20214,Phạm Văn Giang,0.0,47,0.0,5,15,0,0,Cao
SV20215,Hoàng Văn Dũng,2.34,44,5.9,0,18,0,0,Thap
SV20216,Trần Anh Nam,2.42,48,6.1,1,21,0,0,Trung Binh
SV20217,Bùi Thảo Cường,2.32,47,5.8,0,15,0,0,Thap
SV20218,Nguyễn Minh Dũng,2.0,61,5.0,5,18,0,0,Cao
SV20219,Trần Văn Khánh,2.0,89,5.0,5,18,0,0,Cao
SV20220,Bùi Thảo Khánh,0.0,67,0.0,5,15,0,0,Cao
SV20221,Vũ Thảo Giang,2.6,47,6.5,1,15,0,0,Thap
SV20222,Phạm Văn Khánh,2.67,33,6.7,0,18,0,0,Thap
SV20223,Hoàng Quang Nam,2.25,50,5.6,2,18,0,0,Cao
SV20224,Lê Văn An,2.77,43,6.9,2,21,0,0,Thap
SV20225,Nguyễn Ngọc Dũng,2.75,38,6.9,1,21,0,0,Thap
SV20226,Bùi Văn Hương,3.07,39,7.7,0,18,0,0,Thap
SV20227,Hoàng Minh Cường,2.2,40,5.5,0,15,0,0,Thap
SV20228,Nguyễn Đức Nam,2.4,33,6.0,0,18,0,0,Thap
SV20229,Lê Đức Nam,0.0,33,0.0,5,15,0,0,Cao
SV20230,Đặng Đức Dũng,2.31,62,5.8,1,24,0,0,Thap
SV20231,Lê Thị Giang,2.57,56,6.4,0,18,0,0,Thap
SV20232,Hoàng Minh Nam,0.0,0,0.0,6,18,0,0,Cao
SV20233,Phạm Minh Giang,2.6,33,6.5,0,15,0,0,Thap
SV20234,Phạm Anh Khánh,2.2,50,5.5,1,18,0,0,Thap
SV20235,Bùi Văn Khánh,2.4,80,6.0,2,15,0,0,Cao
SV20236,Hoàng Anh Trang,2.52,33,6.3,1,18,0,0,Thap
SV20237,Trần Quang Trang,2.68,44,6.7,1,18,0,0,Thap
SV20238,Hoàng Minh Khánh,2.27,50,5.7,0,18,0,0,Thap
SV20239,Hoàng Minh Bình,2.7,93,6.8,1,15,0,0,Cao
SV20240,Đặng Đức Nam,2.35,61,5.9,3,18,1,1,Cao
SV20241,Trần Thị An,2.49,48,6.2,1,21,0,0,Trung Binh
SV20242,Hoàng Ngọc Khánh,2.58,37,6.5,6,51,0,0,Trung Binh
SV20243,Vũ Anh Linh,2.32,33,5.8,0,15,0,0,Thap
SV20244,Trần Văn Bình,0.0,33,0.0,5,15,0,0,Cao
SV20245,Lê Thị Bình,2.58,43,6.4,1,30,0,0,Thap
SV20246,Hoàng Anh Giang,2.64,33,6.6,0,24,0,0,Thap
SV20247,Vũ Minh Linh,2.63,33,6.6,1,24,0,0,Thap
SV20248,Bùi Anh An,2.55,72,6.4,3,18,1,1,Cao
SV20249,Vũ Đức An,2.27,44,5.7,0,18,0,0,Thap
SV20250,Đặng Quang Nam,2.65,56,6.6,0,18,0,0,Thap
SV20251,Hoàng Đức Dũng,2.48,39,6.2,1,18,0,0,Trung Binh
SV20252,Vũ Đức Cường,3.0,33,7.5,0,18,0,0,Cao
SV20253,Hoàng Đức Hương,2.88,40,7.2,0,15,0,0,Thap
SV20254,Đặng Minh Trang,2.2,67,5.5,5,18,0,0,Trung Binh
SV20255,Trần Minh Khánh,2.48,53,6.2,0,15,0,0,Thap
SV20256,Vũ Minh Bình,3.2,62,8.0,6,21,1,1,Cao
SV20257,Phạm Ngọc Trang,2.71,67,6.8,0,15,0,0,Thap
SV20258,Phạm Đức Linh,2.37,33,5.9,0,18,0,0,Trung Binh
SV20259,Hoàng Quang Nam,2.33,44,5.8,1,18,0,0,Thap
SV20260,Đặng Văn Cường,2.37,53,5.9,4,30,1,1,Cao
SV20261,Hoàng Đức Nam,2.23,44,5.6,0,18,0,0,Thap
SV20262,Đặng Đức An,0.0,0,0.0,6,18,0,0,Cao
SV20263,Nguyễn Thảo An,2.35,47,5.9,4,36,1,1,Cao
SV20264,Vũ Anh Hương,2.8,39,7.0,0,18,0,0,Thap
SV20265,Trần Đức Giang,2.57,33,6.4,0,18,0,0,Thap
SV20266,Bùi Ngọc Giang,2.45,61,6.1,2,18,0,0,Thap
SV20267,Lê Đức Giang,2.97,33,7.4,1,24,0,0,Thap
SV20268,Phạm Minh Cường,2.28,39,5.7,1,18,0,0,Thap
SV20269,Phạm Văn Bình,2.6,33,6.5,0,18,0,0,Thap
SV20270,Đặng Văn An,2.73,33,6.8,1,24,0,0,Thap
SV20271,Vũ Quang An,2.53,50,6.3,0,18,0,0,Thap
SV20272,Hoàng Ngọc Hương,2.0,67,5.0,3,15,0,0,Cao
SV20273,Lê Thảo Khánh,2.7,67,6.8,0,15,0,0,Thap
SV20274,Nguyễn Minh Trang,2.53,38,6.3,0,21,0,0,Thap
SV20275,Bùi Thảo Linh,2.9,44,7.2,0,18,0,0,Thap
SV20276,Vũ Đức Linh,2.74,33,6.8,0,21,0,0,Thap
SV20277,Phạm Anh Linh,2.2,44,5.5,1,18,0,0,Cao
SV20278,Trần Đức Dũng,2.31,59,5.8,2,27,1,1,Cao
SV20279,Trần Thảo Trang,2.76,33,6.9,0,21,0,0,Trung Binh
SV20280,Phạm Thị Giang,2.8,38,7.0,0,21,0,0,Thap
SV20281,Nguyễn Đức Hương,2.4,53,6.0,1,15,0,0,Thap
SV20282,Đặng Văn Nam,2.83,50,7.1,1,18,0,0,Thap
SV20283,Nguyễn Anh Dũng,2.8,33,7.0,0,15,0,0,Thap
SV20284,Hoàng Đức Cường,2.76,39,6.9,1,18,0,0,Thap
SV20285,Hoàng Ngọc Bình,2.56,44,6.4,1,18,0,0,Thap
SV20286,Lê Thảo Giang,2.43,33,6.1,0,18,0,0,Thap
SV20287,Đặng Văn Bình,2.5,44,6.2,0,18,0,0,Trung Binh
SV20288,Trần Thảo Bình,2.4,50,6.0,2,18,0,0,Thap
SV20289,Lê Anh Giang,2.17,44,5.4,0,18,0,0,Thap
SV20290,Đặng Thảo An,2.68,33,6.7,0,24,0,0,Thap
SV20291,Vũ Văn Bình,3.13,78,7.8,0,18,0,0,Thap
SV20292,Bùi Quang An,2.87,50,7.2,0,18,1,1,Thap
SV20293,Lê Anh Trang,2.29,56,5.7,0,18,0,0,Trung Binh
SV20294,Đặng Văn Hương,2.33,50,5.8,0,18,0,0,Thap
SV20295,Lê Minh An,2.4,50,6.0,1,18,0,0,Cao
SV20296,Hoàng Văn Bình,2.95,33,7.4,1,24,0,0,Thap
SV20297,Nguyễn Minh An,2.83,33,7.1,0,18,0,0,Thap
SV20298,Hoàng Thảo Khánh,2.31,56,5.8,0,18,0,0,Thap
SV20299,Vũ Đức An,2.5,33,6.2,0,21,0,0,Thap
SV20300,Hoàng Quang Giang,2.57,42,6.4,0,24,0,0,Thap
SV20301,Vũ Minh Giang,2.45,56,6.1,0,18,0,0,Thap
SV20302,Đặng Anh Giang,2.4,47,6.0,1,15,0,0,Thap
SV20303,Hoàng Thị Trang,3.02,43,7.6,0,21,0,0,Thap
SV20304,Lê Văn Giang,2.5,40,6.2,3,15,1,1,Cao
SV20305,Vũ Văn An,0.0,61,0.0,6,18,0,0,Cao
SV20306,Lê Anh Dũng,2.2,44,5.5,2,18,0,0,Trung Binh
SV20307,Vũ Văn An,2.38,44,5.9,0,18,0,0,Thap
SV20308,Bùi Thảo Bình,2.2,40,5.5,4,15,0,0,Cao
SV20309,Phạm Quang Linh,3.04,33,7.6,0,15,0,0,Thap
SV20310,Đặng Thị Trang,2.32,39,5.8,1,18,1,1,Cao
SV20311,Trần Ngọc Hương,2.97,33,7.4,0,18,1,1,Thap
SV20312,Lê Minh Bình,2.27,67,5.7,3,18,0,0,Cao
SV20313,Phạm Văn Hương,2.24,33,5.6,0,15,0,0,Thap
SV20314,Phạm Anh Nam,2.68,44,6.7,1,18,0,0,Thap
SV20315,Nguyễn Thảo Khánh,2.1,80,5.2,3,15,0,0,Cao
SV20316,Đặng Anh Giang,3.24,33,8.1,0,15,0,0,Thap
SV20317,Vũ Thị Cường,2.91,33,7.3,0,21,0,0,Thap
SV20318,Đặng Ngọc Bình,2.74,33,6.8,0,21,0,0,Thap
SV20319,Vũ Thị Bình,2.26,44,5.6,0,18,0,0,Thap
SV20320,Trần Ngọc Cường,2.35,52,5.9,1,21,0,0,Trung Binh
SV20321,Đặng Thị Dũng,0.0,33,0.0,3,9,1,1,Cao
SV20322,Nguyễn Ngọc An,2.61,33,6.5,1,24,0,0,Thap
SV20323,Bùi Quang Khánh,2.86,33,7.2,0,21,0,0,Thap
SV20324,Trần Minh An,2.36,50,5.9,5,30,0,0,Thap
SV20325,Hoàng Anh Dũng,2.07,60,5.2,2,15,0,0,Trung Binh
SV20326,Trần Thảo An,2.11,39,5.3,0,18,0,0,Thap
SV20327,Trần Văn Dũng,2.67,33,6.7,1,21,0,0,Thap
SV20328,Bùi Anh Bình,2.37,56,5.9,0,18,1,1,Thap
SV20329,Vũ Anh Bình,2.52,50,6.3,1,18,0,0,Trung Binh
SV20330,Hoàng Ngọc Cường,2.8,73,7.0,0,15,0,0,Trung Binh
SV20331,Đặng Văn Khánh,2.4,57,6.0,2,21,0,0,Trung Binh
SV20332,Đặng Thảo Hương,0.0,40,0.0,5,15,1,1,Cao
SV20333,Bùi Thảo Dũng,2.4,39,6.0,0,18,0,0,Thap
SV20334,Bùi Đức Linh,2.53,33,6.3,0,18,0,0,Thap
SV20335,Nguyễn Minh Cường,2.43,33,6.1,0,18,0,0,Thap
SV20336,Lê Anh Bình,2.67,33,6.7,0,18,0,0,Thap
SV20337,Hoàng Thị Cường,3.0,38,7.5,0,21,1,1,Thap
SV20338,Lê Anh Giang,2.68,33,6.7,0,24,0,0,Thap
SV20339,Trần Đức Trang,2.43,50,6.1,1,18,0,0,Thap
SV20340,Hoàng Ngọc Giang,2.25,60,5.6,1,15,0,0,Thap
SV20341,Vũ Văn Giang,2.4,87,6.0,1,15,0,0,Trung Binh
SV20342,Nguyễn Đức Trang,0.0,85,0.0,0,0,0,0,Cao
SV20343,Vũ Thị An,2.57,39,6.4,0,18,0,0,Thap
SV20344,Vũ Thị Nam,2.8,56,7.0,0,18,0,0,Thap
SV20345,Trần Văn Nam,2.6,33,6.5,1,15,0,0,Trung Binh
SV20346,Vũ Quang Linh,2.7,39,6.8,0,18,0,0,Thap
SV20347,Vũ Minh An,2.14,50,5.3,3,48,0,0,Trung Binh
SV20348,Trần Đức An,2.2,40,5.5,0,15,0,0,Thap
SV20349,Bùi Văn Cường,2.6,44,6.5,0,18,0,0,Thap
SV20350,Hoàng Đức Linh,2.4,56,6.0,1,18,0,0,Trung Binh
SV20351,Vũ Ngọc Trang,2.52,50,6.3,2,18,0,0,Cao
SV20352,Phạm Quang Linh,2.73,33,6.8,0,18,0,0,Thap
SV20353,Trần Anh Trang,0.0,85,0.0,0,0,0,0,Cao
SV20354,Vũ Minh Linh,2.84,33,7.1,1,21,1,1,Thap
SV20355,Lê Quang Cường,2.2,56,5.5,1,18,1,1,Cao
SV20356,Đặng Quang Bình,3.0,39,7.5,0,18,0,0,Thap
